timestamp,temperature.gpu,power.draw,power.limit,utilization.gpu,utilization.memory,memory.used,memory.total,clocks.gr,clocks.mem,fan.speed,pstate
2026/02/05 00:12:43.189,66,13.16,[N/A],5,1,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:44.277,66,13.98,[N/A],5,1,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:45.347,66,13.16,[N/A],5,1,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:46.418,66,13.20,[N/A],5,1,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:47.478,66,13.15,[N/A],5,1,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:48.556,66,13.17,[N/A],5,1,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:49.626,66,13.17,[N/A],5,1,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:50.681,66,13.20,[N/A],5,1,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:51.748,66,13.21,[N/A],5,1,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:52.821,66,13.16,[N/A],5,1,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:53.890,66,13.18,[N/A],5,1,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:54.957,66,15.60,[N/A],20,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:56.023,66,16.77,[N/A],25,4,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:57.090,66,16.08,[N/A],24,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:58.157,66,16.16,[N/A],23,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:12:59.221,66,16.04,[N/A],23,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:00.288,67,16.12,[N/A],23,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:01.372,67,16.11,[N/A],28,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:02.437,67,16.16,[N/A],24,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:03.504,67,17.40,[N/A],25,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:04.572,67,16.30,[N/A],24,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:05.629,67,16.30,[N/A],24,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:06.712,67,16.45,[N/A],24,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:07.779,68,16.16,[N/A],23,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:08.845,67,15.93,[N/A],23,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:09.912,68,16.42,[N/A],24,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:10.981,68,16.30,[N/A],23,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:12.048,68,16.64,[N/A],23,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:13.116,68,15.93,[N/A],23,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:14.185,68,16.25,[N/A],24,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:15.254,68,16.21,[N/A],23,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:16.314,68,16.07,[N/A],23,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:17.382,68,16.29,[N/A],23,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:18.459,67,17.00,[N/A],20,3,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:19.521,67,16.99,[N/A],26,4,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:20.581,67,17.01,[N/A],25,4,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:21.644,67,17.15,[N/A],26,4,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:22.715,67,16.81,[N/A],26,4,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:23.787,67,16.95,[N/A],25,4,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:24.846,67,16.92,[N/A],25,4,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:25.917,67,16.98,[N/A],26,4,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:26.992,67,16.97,[N/A],25,4,1322,4096,1575,7000,[N/A],P0
2026/02/05 00:13:28.050,67,17.18,[N/A],25,4,1322,4096,1575,7000,[N/A],P0
